0,0,0,10,60,012345
25,26,64,44,60,012345
37,42,102,75,60,012345
40,46,119,78,60,012345
39,46,135,88,60,012345
39,42,147,92,60,012345
37,37,156,99,60,012345
36,33,170,103,60,012345
35,30,182,107,60,012345
36,30,190,104,60,012345
36,29,186,110,60,012345
33,25,176,114,60,012345
31,22,184,116,60,012345
30,21,187,106,60,012345
28,19,173,109,60,012345
28,18,174,106,60,012345
28,17,181,105,60,012345
79,71,164,115,60,012345
91,101,125,93,60,012345
87,101,95,67,60,012345
75,90,72,42,60,012345
61,74,55,24,60,012345
47,58,42,13,60,012345
36,44,32,7,60,012345
27,33,24,5,60,012345
31,47,39,10,60,012345
28,51,43,9,60,012345
33,61,44,12,60,012345
35,69,54,18,60,012345
31,65,56,15,60,012345
50,97,95,41,60,012345
53,94,125,77,60,012345
50,87,117,67,60,012345
56,89,151,100,60,012345
54,82,146,103,60,012345
48,78,121,72,60,012345
39,64,97,45,60,012345
30,52,77,26,60,012345
23,39,59,14,60,012345
17,30,46,7,60,012345
13,22,36,5,60,012345
15,20,27,5,60,012345
15,16,21,5,60,012345
12,12,16,5,60,012345
9,9,12,5,60,012345
7,7,9,5,60,012345
5,5,7,5,60,012345
4,4,5,5,60,012345
3,3,4,5,60,012345
59,63,6,10,60,012345
77,94,7,15,60,012345
76,95,6,14,60,012345
67,86,6,9,60,012345
55,71,6,5,60,012345
43,56,5,5,60,012345
33,42,4,5,60,012345
24,32,3,5,60,012345
29,45,23,5,60,012345
27,49,31,5,60,012345
33,59,35,9,60,012345
35,68,47,15,60,012345
30,64,51,13,60,012345
50,96,92,39,60,012345
53,93,124,76,60,012345
50,86,116,66,60,012345
58,88,151,101,60,012345
55,82,145,103,60,012345
48,77,120,72,60,012345
39,64,97,45,60,012345
31,51,77,26,60,012345
23,39,59,14,60,012345
17,29,46,7,60,012345
13,22,35,5,60,012345
16,20,27,5,60,012345
15,16,21,5,60,012345
12,12,16,5,60,012345
9,9,12,5,60,012345
7,7,9,5,60,012345
5,5,7,5,60,012345
4,4,5,5,60,012345
3,3,4,5,60,012345
61,62,6,10,60,012345
78,95,7,15,60,012345
77,96,6,14,60,012345
68,86,6,9,60,012345
56,71,6,5,60,012345
43,56,4,5,60,012345
33,43,4,5,60,012345
25,32,3,5,60,012345
29,45,22,5,60,012345
27,49,31,5,60,012345
33,59,35,9,60,012345
35,67,47,15,60,012345
31,64,50,12,60,012345
51,94,91,37,60,012345
53,91,121,73,60,012345
50,85,113,63,60,012345
56,87,149,99,60,012345
54,82,144,101,60,012345
48,77,119,71,60,012345
40,63,96,44,60,012345
31,51,76,25,60,012345
23,39,58,14,60,012345
17,29,46,7,60,012345
13,22,35,5,60,012345
16,20,27,5,60,012345
15,16,21,5,60,012345
12,12,16,5,60,012345
9,9,12,5,60,012345
7,7,9,5,60,012345
5,5,7,5,60,012345
4,4,5,5,60,012345
3,3,4,5,60,012345
59,62,6,10,60,012345
76,94,7,15,60,012345
75,94,6,14,60,012345
67,84,6,9,60,012345
54,70,5,5,60,012345
42,55,4,5,60,012345
32,42,4,5,60,012345
24,31,3,5,60,012345
24,27,2,5,60,012345
21,22,2,5,60,012345
17,16,2,5,60,012345
13,12,1,5,60,012345
9,9,1,5,60,012345
7,7,1,5,60,012345
5,5,1,5,60,012345
9,4,0,5,60,012345
37,52,61,24,60,012345
49,75,75,46,60,012345
53,91,67,49,60,012345
51,97,57,45,60,012345
69,80,50,36,60,012345
67,68,45,29,60,012345
52,58,36,20,60,012345
47,53,29,17,60,012345
68,74,28,36,60,012345
84,81,22,44,60,012345
91,81,17,45,60,012345
91,83,13,42,60,012345
95,67,10,32,60,012345
94,62,15,28,60,012345
72,54,13,22,60,012345
56,46,10,20,60,012345
95,98,13,42,60,012345
101,130,12,52,60,012345
93,139,10,58,60,012345
85,121,8,43,60,012345
86,99,7,33,60,012345
67,86,12,25,60,012345
52,72,10,17,60,012345
39,60,8,16,60,012345
56,97,22,31,60,012345
58,113,27,38,60,012345
63,123,29,46,60,012345
58,120,39,48,60,012345
56,118,42,45,60,012345
70,149,81,72,60,012345
80,134,110,104,60,012345
83,116,102,86,60,012345
93,112,136,115,60,012345
89,127,131,125,60,012345
86,133,107,112,60,012345
105,121,86,94,60,012345
116,111,67,84,60,012345
115,102,52,72,60,012345
101,107,41,63,60,012345
78,87,32,44,60,012345
87,128,26,61,60,012345
79,138,20,73,60,012345
69,140,15,80,60,012345
60,139,12,83,60,012345
46,111,9,56,60,012345
61,130,10,62,60,012345
59,129,8,64,60,012345
55,132,6,70,60,012345
